Version5;
PCI\VEN_8086&DEV_041E	FORCED\5x64\Haswell_6.14.10.5445\	igxp64_tweak.inf	IntelGfx.NTamd64.5.1	0	09/29/2013,6.14.10.5445	Variable: iHSWGT15D
PCI\VEN_8086&DEV_041E	FORCED\5x86\Haswell_6.14.10.5445\	igxp32_tweak.inf	IntelGfx.NTx86.5.1	0	09/29/2013,6.14.10.5445	Intel(R) HD Graphics 4400
PCI\VEN_8086&DEV_0A1E	FORCED\5x64\Haswell_6.14.10.5445\	igxp64_tweak.inf	IntelGfx.NTamd64.5.1	0	09/29/2013,6.14.10.5445	Variable: iHSWGT2UX
PCI\VEN_8086&DEV_0A1E	FORCED\5x86\Haswell_6.14.10.5445\	igxp32_tweak.inf	IntelGfx.NTx86.5.1	0	09/29/2013,6.14.10.5445	Intel(R) HD Graphics Family
PCI\VEN_8086&DEV_0152	FORCED\5x64\HD4000_6.14.10.5437\	igxp64.inf	IntelGfx.NTamd64.5.1	1	02/04/2013,6.14.10.5437	Intel(R) HD Graphics
PCI\VEN_8086&DEV_0152	FORCED\5x86\HD4000_6.14.10.5437\	igxp32.inf	IntelGfx.NTx86.5.1	1	02/04/2013,6.14.10.5437	Intel(R) HD Graphics
PCI\VEN_8086&DEV_0152	FORCED\5x86\Haswell_6.14.10.5445\	igxp32.inf	IntelGfx.NTx86.5.1	0	09/29/2013,6.14.10.5445	Intel(R) HD Graphics
PCI\VEN_8086&DEV_0152	FORCED\5x64\Haswell_6.14.10.5445\	igxp64.inf	IntelGfx.NTamd64.5.1	0	09/29/2013,6.14.10.5445	Intel(R) HD Graphics
PCI\VEN_8086&DEV_2A12	FORCED\5x64\Express946_6.14.10.5016\	igxp64.inf	Intel.Mfg.NTamd64	1	12/12/2008,6.14.10.5016	Mobile Intel(R) 965 Express Chipset Family
PCI\VEN_8086&DEV_2A12	FORCED\5x64\Express945_6.14.10.4926\	igxp64.inf	Intel.Mfg.NTamd64	1	02/15/2008,6.14.10.4926	Mobile Intel(R) 965 Express Chipset Family
PCI\VEN_8086&DEV_2A12	FORCED\5x86\Express965_6.14.10.5218\	igxp32.inf	Intel.Mfg	1	01/13/2010,6.14.10.5218	Mobile Intel(R) 965 Express Chipset Family
PCI\VEN_8086&DEV_2A12	FORCED\5x86\IEGD_10.3.1.1550\	iegd.inf	Intel.Mfg	0	03/01/2010,10.3.1.1550	Intel Corporation
PCI\VEN_8086&DEV_2A12	FORCED\5x86\Express946_6.14.10.5016\	igxp32.inf	Intel.Mfg	1	12/12/2008,6.14.10.5016	Mobile Intel(R) 965 Express Chipset Family
PCI\VEN_8086&DEV_2A12	FORCED\5x86\Express945_6.14.10.4926\	igxp32.inf	Intel.Mfg	1	02/15/2008,6.14.10.4926	Mobile Intel(R) 965 Express Chipset Family
PCI\VEN_8086&DEV_2A12	FORCED\5x64\Express965_6.14.10.5218\	igxp64.inf	Intel.Mfg.NTamd64	1	01/13/2010,6.14.10.5218	Mobile Intel(R) 965 Express Chipset Family
PCI\VEN_8086&DEV_2A13	FORCED\5x86\Express946_6.14.10.5016\	igxp32.inf	Intel.Mfg	1	12/12/2008,6.14.10.5016	Mobile Intel(R) 965 Express Chipset Family
PCI\VEN_8086&DEV_2A13	FORCED\5x64\Express945_6.14.10.4926\	igxp64.inf	Intel.Mfg.NTamd64	1	02/15/2008,6.14.10.4926	Mobile Intel(R) 965 Express Chipset Family
PCI\VEN_8086&DEV_2A13	FORCED\5x86\IEGD_10.3.1.1550\	iegd.inf	Intel.Mfg	0	03/01/2010,10.3.1.1550	Intel Corporation
PCI\VEN_8086&DEV_2A13	FORCED\5x86\Express945_6.14.10.4926\	igxp32.inf	Intel.Mfg	1	02/15/2008,6.14.10.4926	Mobile Intel(R) 965 Express Chipset Family
PCI\VEN_8086&DEV_2A13	FORCED\5x86\Express965_6.14.10.5218\	igxp32.inf	Intel.Mfg	1	01/13/2010,6.14.10.5218	Mobile Intel(R) 965 Express Chipset Family
PCI\VEN_8086&DEV_2A13	FORCED\5x64\Express965_6.14.10.5218\	igxp64.inf	Intel.Mfg.NTamd64	1	01/13/2010,6.14.10.5218	Mobile Intel(R) 965 Express Chipset Family
PCI\VEN_8086&DEV_2A13	FORCED\5x64\Express946_6.14.10.5016\	igxp64.inf	Intel.Mfg.NTamd64	1	12/12/2008,6.14.10.5016	Mobile Intel(R) 965 Express Chipset Family
PCI\VEN_8086&DEV_0156	FORCED\5x86\HD4000_6.14.10.5437\	igxp32.inf	IntelGfx.NTx86.5.1	1	02/04/2013,6.14.10.5437	Intel(R) HD Graphics
PCI\VEN_8086&DEV_0156	FORCED\5x64\Haswell_6.14.10.5445\	igxp64.inf	IntelGfx.NTamd64.5.1	0	09/29/2013,6.14.10.5445	Intel(R) HD Graphics
PCI\VEN_8086&DEV_0156	FORCED\5x86\Haswell_6.14.10.5445\	igxp32.inf	IntelGfx.NTx86.5.1	0	09/29/2013,6.14.10.5445	Intel(R) HD Graphics
PCI\VEN_8086&DEV_0156	FORCED\5x64\HD4000_6.14.10.5437\	igxp64.inf	IntelGfx.NTamd64.5.1	1	02/04/2013,6.14.10.5437	Intel(R) HD Graphics
PCI\VEN_8086&DEV_2792	FORCED\5x86\IEGD_10.3.1.1550\	iegd.inf	Intel.Mfg	0	03/01/2010,10.3.1.1550	Intel Corporation
PCI\VEN_8086&DEV_2792	FORCED\5x86\82855_6.14.10.4497\	ialmnt5.inf	Intel.Mfg	1	02/07/2006,6.14.10.4497	Mobile Intel(R) 915GM/GMS,910GML Express Chipset Family
PCI\VEN_8086&DEV_2792	FORCED\5x86\Express915_6.14.10.4764\	igxp32.inf	Intel.Mfg	1	01/13/2007,6.14.10.4764	Mobile Intel(R) 915GM/GMS,910GML Express Chipset Family
PCI\VEN_8086&DEV_2792	FORCED\5x86\82865_6.14.10.4396\	ialmnt5.inf	Intel.Mfg	1	09/20/2005,6.14.10.4396	Mobile Intel(R) 915GM/GMS,910GML Express Chipset Family
PCI\VEN_8086&DEV_016A	FORCED\5x86\Haswell_6.14.10.5445\	igxp32.inf	IntelGfx.NTx86.5.1	0	09/29/2013,6.14.10.5445	Intel(R) HD Graphics Pxxxx
PCI\VEN_8086&DEV_016A	FORCED\5x64\HD4000_6.14.10.5437\	igxp64.inf	IntelGfx.NTamd64.5.1	1	02/04/2013,6.14.10.5437	Intel(R) HD Graphics P4000
PCI\VEN_8086&DEV_016A	FORCED\5x64\Haswell_6.14.10.5445\	igxp64.inf	IntelGfx.NTamd64.5.1	0	09/29/2013,6.14.10.5445	Intel(R) HD Graphics Pxxxx
PCI\VEN_8086&DEV_016A	FORCED\5x86\HD4000_6.14.10.5437\	igxp32.inf	IntelGfx.NTx86.5.1	1	02/04/2013,6.14.10.5437	Intel(R) HD Graphics P4000
