Version5;
USB\VID_04F2&PID_B3DF&MI_00	FJWebCam\WinAll\Sonix\6.0.1223.1\	snp2uvc.inf	SN.NTamd64.6.1	1	12/24/2013,6.0.1223.1	FJ Camera
USB\VID_04F2&PID_B023	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B023	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix.NTamd64	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B024	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix.NTamd64	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B024	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B025	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix.NTamd64	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B025	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04f2&PID_b026	OrbiCam\Sonix\WinAll\5.8.33.402\	snp2uvc.inf	SN.NTamd64	1	02/15/2008,5.8.33.402	Acer Crystal Eye webcam
USB\VID_04f2&PID_b026	OrbiCam\Sonix\WinAll\5.8.33.402\	snp2uvc.inf	SN.NTamd64.6.0	1	02/15/2008,5.8.33.402	Acer Crystal Eye webcam
USB\VID_04F2&PID_B026	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04f2&PID_b026	OrbiCam\Sonix\WinAll\5.8.33.402\	snp2uvc.inf	SN.NTx86.5.1	1	02/15/2008,5.8.33.402	Acer Crystal Eye webcam
USB\VID_04F2&PID_B026	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix.NTamd64	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04f2&PID_b026	OrbiCam\Sonix\WinAll\5.8.33.402\	snp2uvc.inf	SN.NTx86.6.0	1	02/15/2008,5.8.33.402	Acer Crystal Eye webcam
USB\VID_04F2&PID_B027	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix.NTamd64	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
USB\VID_04F2&PID_B027	HewPa\Sonix\5x86\FORCED\	st50220.inf	Sonix	1	05/30/2008,1.0.0.4	Sonix ST50220 USB Video Camera
usb\vid_046d&pid_0819&mi_02	Logitech\8x86\13.80.853.0\	lvPRO5s.inf	Logitech.NTx86.6.2	1	10/22/2012,13.80.853.0	Webcam C210
usb\vid_046d&pid_0819&mi_02	Logitech\Allx86\All_13.51.823.0\	lvPRO5s.inf	Logitech.NT.6.0	1	09/21/2012,13.51.823.0	Webcam C210
USB\VID_04f2&PID_b073&MI_00	Chicony\Sonix\WinAll\5.8.45000.1_CNF7120\	snp2uvc.inf	SN.NTx86.5.1	1	06/11/2008,5.8.45000.1	USB 2.0 Camera
usb\vid_046d&pid_0819&mi_02	Logitech\8x64\13.80.853.0\	lPRO564s.inf	Logitech.NTamd64.6.2	1	10/22/2012,13.80.853.0	Webcam C210
usb\vid_046d&pid_0819&mi_02	Logitech\Allx64\13.51.823.0\	lpro564s.inf	Logitech.NTamd64.6.0	1	09/21/2012,13.51.823.0	Webcam C210
USB\VID_04f2&PID_b073&MI_00	Chicony\Sonix\WinAll\5.8.45000.1_CNF7120\	snp2uvc.inf	SN.NTx86.6.0	1	06/11/2008,5.8.45000.1	USB 2.0 Camera
usb\vid_046d&pid_0819&mi_02	Logitech\Allx64\13.51.823.0\	lpro564s.inf	Logitech.NTamd64	1	09/21/2012,13.51.823.0	Webcam C210
usb\vid_046d&pid_0819&mi_02	Logitech\Allx64\13.1.1021.0\	lPRO564s.inf	Logitech.NTamd64.6.0	1	07/27/2010,13.1.1021.0	Webcam C210
USB\VID_04f2&PID_b073&MI_00	Chicony\Sonix\WinAll\5.8.45000.1_CNF7120\	snp2uvc.inf	SN.NTamd64	1	06/11/2008,5.8.45000.1	USB 2.0 Camera
