Version5;
Monitor\VSCA51E	ViewSonic\5x86\VG2030wm_Series\	VG2030wm.inf	ViewSonic	1	11/08/2006,1.5.0.0	ViewSonic VG2030wm SERIES
Monitor\VSCA51E	ViewSonic\WinAll\	VS130320_l20.inf	ViewSonic.NTamd64	0	03/20/2013,1.5.2.82	ViewSonic VG2030wm Series
Monitor\VSCA51E	ViewSonic\5x86\VG2030wm_Series\	VG2030wm.inf	ViewSonic.NTia64	1	11/08/2006,1.5.0.0	ViewSonic VG2030wm SERIES
Monitor\VSCA51E	ViewSonic\7x64\VG2030wm\	VG2030wm.inf	ViewSonic.NTamd64	1	11/08/2006,1.5.0.0	ViewSonic VG2030wm SERIES
Monitor\VSCA51E	ViewSonic\6x64\VG2030wm\	VG2030wm.inf	ViewSonic.NTia64	1	11/08/2006,1.5.0.0	ViewSonic VG2030wm SERIES
Monitor\VSCA51E	ViewSonic\WinAll\	VS130530_l20.inf	ViewSonic	0	05/30/2013,1.5.2.83	ViewSonic VG2030wm Series
Monitor\VSCA51E	ViewSonic\6x64\VG2030wm\	VG2030wm.inf	ViewSonic	1	11/08/2006,1.5.0.0	ViewSonic VG2030wm SERIES
Monitor\VSCA51E	ViewSonic\7x64\VG2030wm\	VG2030wm.inf	ViewSonic.NTia64	1	11/08/2006,1.5.0.0	ViewSonic VG2030wm SERIES
Monitor\GWY05FF	Gateway\WinAll\	mon05FF.INF	Gateway	1	01/16/2004,1.0	Gateway FPD1530
Monitor\VSCA51E	ViewSonic\7x86\VG2030wm\	VG2030wm.inf	ViewSonic.NTia64	1	11/08/2006,1.5.0.0	ViewSonic VG2030wm SERIES
Monitor\VSCA51E	ViewSonic\5x86\VG2030wm_Series\	VG2030wm.inf	ViewSonic.NTamd64	1	11/08/2006,1.5.0.0	ViewSonic VG2030wm SERIES
Monitor\VSCA51E	ViewSonic\WinAll\	VS130320_l20.inf	ViewSonic.NTia64	0	03/20/2013,1.5.2.82	ViewSonic VG2030wm Series
Monitor\VSCA51E	ViewSonic\WinAll\	VS130530_l20.inf	ViewSonic.NTia64	0	05/30/2013,1.5.2.83	ViewSonic VG2030wm Series
Monitor\SAM021D	Samsung\WinAll\	SM205BW.inf	Samsung	1	01/30/2007,3.0	SyncMaster 205BW/204BW, SyncMaster Magic CX203BW/CX205BW(Analog)
Monitor\GWY05FD	Gateway\WinAll\	mon05FD.inf	Gateway	1	04/10/2003,1.1	Gateway FPD1530
Monitor\GWY05FD	GTW\WinAll\	mon05FD.inf	Gateway	1	04/10/2003,1.1	Gateway FPD1530
Monitor\SAM021D	Samsung\WinAll\	SM205BW.inf	Samsung.NTAMD64	1	01/30/2007,3.0	SyncMaster 205BW/204BW, SyncMaster Magic CX203BW/CX205BW(Analog)
Monitor\SAM021D	Samsung\WinAll\	SM205BW.inf	Samsung.NTx86	1	01/30/2007,3.0	SyncMaster 205BW/204BW, SyncMaster Magic CX203BW/CX205BW(Analog)
Monitor\GWY05FE	Gateway\WinAll\	mon05FF.INF	Gateway	1	01/16/2004,1.0	Gateway FPD1530
Monitor\GWY05FE	Gateway\WinAll\	mon05FE.INF	Gateway	1	05/06/2003,1.0	Gateway FPD1530
Monitor\GWY05FE	GTW\WinAll\	mon05FF.INF	Gateway	1	01/16/2004,1.0	Gateway FPD1530
Monitor\SAM021E	Samsung\WinAll\	SM205BW.inf	Samsung.NTAMD64	1	01/30/2007,3.0	SyncMaster 205BW/204BW, SyncMaster Magic CX203BW/CX205BW(Digital)
Monitor\SAM021E	Samsung\WinAll\	SM205BW.inf	Samsung.NTx86	1	01/30/2007,3.0	SyncMaster 205BW/204BW, SyncMaster Magic CX203BW/CX205BW(Digital)
Monitor\SAM021E	Samsung\WinAll\	SM205BW.inf	Samsung	1	01/30/2007,3.0	SyncMaster 205BW/204BW, SyncMaster Magic CX203BW/CX205BW(Digital)
Monitor\SAM021F	Samsung\WinAll\	SM703MS.inf	Samsung.NTx86	1	02/16/2006,2.0	SyncMaster 703MS(plus)/704MS(plus), SyncMaster Magic CD173KP
Monitor\SAM021F	Samsung\WinAll\	SM703MS.inf	Samsung.NTAMD64	1	02/16/2006,2.0	SyncMaster 703MS(plus)/704MS(plus), SyncMaster Magic CD173KP
Monitor\SAM021F	Samsung\WinAll\	SM703MS.inf	Samsung	1	02/16/2006,2.0	SyncMaster 703MS(plus)/704MS(plus), SyncMaster Magic CD173KP
Monitor\SAM021A	Samsung\WinAll\	SM960BG.inf	Samsung.NTx86	1	12/08/2005,2.0	SyncMaster 960BG(Digital)
Monitor\SAM021A	Samsung\WinAll\	SM960BG.inf	Samsung	1	12/08/2005,2.0	SyncMaster 960BG(Digital)
Monitor\SAM021A	Samsung\WinAll\	SM960BG.inf	Samsung.NTAMD64	1	12/08/2005,2.0	SyncMaster 960BG(Digital)
Monitor\SAM021B	Samsung\WinAll\	SM203B.inf	Samsung.NTAMD64	1	01/09/2006,2.0	SyncMaster 203B(Analog)
Monitor\SAM021B	Samsung\WinAll\	SM203B.inf	Samsung	1	01/09/2006,2.0	SyncMaster 203B(Analog)
Monitor\SAM021B	Samsung\WinAll\	SM203B.inf	Samsung.NTx86	1	01/09/2006,2.0	SyncMaster 203B(Analog)
Monitor\SAM021C	Samsung\WinAll\	SM203B.inf	Samsung	1	01/09/2006,2.0	SyncMaster 203B(Digital)
Monitor\SAM021C	Samsung\WinAll\	SM203B.inf	Samsung.NTx86	1	01/09/2006,2.0	SyncMaster 203B(Digital)
Monitor\SAM021C	Samsung\WinAll\	SM203B.inf	Samsung.NTAMD64	1	01/09/2006,2.0	SyncMaster 203B(Digital)
Monitor\AOC1620	AOC\WinAll\	1620Wb.INF	AOC.ntamd64	1	03/16/2011,1.0.0.0	AOC 1620Wb
Monitor\AOC1620	AOC\WinAll\	1620.INF	AOC	1	09/17/2009,1.0.0.0	AOC 1620 (Analog)
Monitor\AOC1620	AOC\WinAll\	1620.INF	AOC.ntamd64	1	09/17/2009,1.0.0.0	AOC 1620 (Analog)
Monitor\AOC1620	AOC\WinAll\	1620Wb.INF	AOC	1	03/16/2011,1.0.0.0	AOC 1620Wb
Monitor\AOC1621	AOC\WinAll\	1621w.INF	AOC.ntamd64	1	05/14/2010,1.0.0.0	AOC 1621w
Monitor\AOC1621	AOC\WinAll\	1621Wb.INF	AOC.ntamd64	1	03/16/2011,1.0.0.0	AOC 1621Wb
Monitor\AOC1621	AOC\WinAll\	1621w.INF	AOC	1	05/14/2010,1.0.0.0	AOC 1621w
Monitor\AOC1621	AOC\WinAll\	1621Wb.INF	AOC	1	03/16/2011,1.0.0.0	AOC 1621Wb
Monitor\SAM0272	Samsung\WinAll\	SM732N.inf	Samsung.NTx86	1	02/07/2007,2.0	SyncMaster 732N/732Nplus,SyncMaster Magic CX731N/CX732N
Monitor\SAM0272	Samsung\WinAll\	SM732N.inf	Samsung	1	02/07/2007,2.0	SyncMaster 732N/732Nplus,SyncMaster Magic CX731N/CX732N
Monitor\SAM0272	Samsung\WinAll\	SM732N.inf	Samsung.NTAMD64	1	02/07/2007,2.0	SyncMaster 732N/732Nplus,SyncMaster Magic CX731N/CX732N
Monitor\SAM0273	Samsung\WinAll\	SM931BW.inf	Samsung.NTAMD64	1	01/09/2007,3.0	SyncMaster 931BW/906BW/931CW , SyncMaster Magic CX931BW (Analog)
Monitor\SAM0273	Samsung\WinAll\	SM931BW.inf	Samsung.NTx86	1	01/09/2007,3.0	SyncMaster 931BW/906BW/931CW , SyncMaster Magic CX931BW (Analog)
Monitor\SAM0273	Samsung\WinAll\	SM931BW.inf	Samsung	1	01/09/2007,3.0	SyncMaster 931BW/906BW/931CW , SyncMaster Magic CX931BW (Analog)
Monitor\SAM0270	Samsung\WinAll\	SM920BW.inf	Samsung.NTAMD64	1	05/30/2007,3.0	SyncMaster 920BW/940BWPlus/942BW(Analog)
Monitor\SAM0270	Samsung\WinAll\	SM920BW.inf	Samsung	1	05/30/2007,3.0	SyncMaster 920BW/940BWPlus/942BW(Analog)
Monitor\SAM0270	Samsung\WinAll\	SM920BW.inf	Samsung.NTx86	1	05/30/2007,3.0	SyncMaster 920BW/940BWPlus/942BW(Analog)
Monitor\SAM0271	Samsung\WinAll\	SM920BW.inf	Samsung	1	05/30/2007,3.0	SyncMaster 920BW/940BWPlus/942BW(Digital)
Monitor\SAM0271	Samsung\WinAll\	SM920BW.inf	Samsung.NTAMD64	1	05/30/2007,3.0	SyncMaster 920BW/940BWPlus/942BW(Digital)
